image,trans,image processing,processing,computation,field,sparse,trans image,application,neural,network,mathematics,social,model,matrix,via,information,mean field,mean,textdollar
0.5742129944407102,0.2606008234527894,0.0,0.6059355291927951,0.0,0.3429349663514998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3429349663514998,0.0
0.6355005268212176,0.28841555694085025,0.0,0.33530445300770256,0.0,0.3795374780643307,0.0,0.0,0.33530445300770256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3795374780643307,0.0
0.4786858553088582,0.434493573905255,0.0,0.5051309703225949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5717673381570684,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5531915107098863,0.2510604333475672,0.0,0.29187635427289804,0.0,0.6607607767428133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33038038837140665,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5238129974638639,0.0,0.6023370915392485,0.0,0.0,0.0,0.6023370915392485,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5643901901838227,0.5643901901838227,0.0,0.0,0.0,0.0,0.6024345827129588,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5643901901838227,0.5643901901838227,0.0,0.0,0.0,0.0,0.6024345827129588,0.0,0.0,0.0,0.0
0.0,0.6050394829418682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7961954685135032,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.6663397336489406,0.0,0.0,0.0,0.0,0.745648281269835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.6521090969612601,0.0,0.0,0.0,0.0,0.0,0.0,0.7581251385229025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.1569090053560097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9876130639264488
0.0,0.39304566512359757,0.0,0.0,0.0,0.0,0.5172243899996052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5172243899996052,0.5572010103244802,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6341126768333321,0.0,0.0,0.0,0.7732406566388412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.5341855308926923,0.0,0.0,0.0,0.0,0.5977649281217879,0.5977649281217879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
